,source,author,title,description,url,urlToImage,publishedAt,content
33,"{'id': 'bbc-news', 'name': 'BBC News'}",,BBC Women's Footballer of the Year 2020: Former players discuss nominees,Former international players including Kelly Smith and Heather O'Reilly discuss the five nominees for the BBC Women's Footballer of the Year award.,https://www.bbc.co.uk/sport/football/51459185,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/2AB8/production/_110863901_bbcwf.jpg,2020-02-28T23:45:04Z,"Media playback is not supported on this device
BBC Women's Footballer of the Year 2020: Meet the nominees
Voting for the BBC Women's Footballer of the Year 2020 will close at 09:00 GMT on Monday, 2 March - but there's still time for one last look at the nom… [+6987 chars]"
34,"{'id': 'bbc-news', 'name': 'BBC News'}",,WHO says global risk of the coronavirus is “very high”,"The BBC understands more than 200 people have died in Iran, as the outbreak worsens. Also: The UN describes the rising conflict in Idlib as one of the most alarming moments of the Syrian War, and the US and Taliban are set to sign a peace deal.",https://www.bbc.co.uk/programmes/p0855b4d,https://ichef.bbci.co.uk/images/ic/1200x675/p07zqpb8.jpg,2020-02-28T23:34:00Z,"The BBC understands more than 200 people have died in Iran, as the outbreak worsens. Also: The UN describes the rising conflict in Idlib as one of the most alarming moments of the Syrian War, and the US and Taliban are set to sign a peace deal."
35,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,What does Trump's new Denaturalisation Section do?,Critics are concerned by the rise in denaturalisation cases brought by the Trump administration.,https://www.bbc.co.uk/news/world-us-canada-51681840,https://ichef.bbci.co.uk/news/1024/branded_news/ED9C/production/_111082806_gettyimages-1168447120.jpg,2020-02-28T23:31:17Z,"Image copyrightGetty Images
The US Department of Justice (DOJ) announced this week that it has opened a division dedicated to denaturalisation - the process of revoking US citizenship from someone who was not born in the country.
More than 20 million US cit… [+6091 chars]"
36,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Anak Krakatau: Lightning frenzy points to scale of volcanic plume,The 2018 volcanic eruption put so much ice into the sky it set off a huge display of lightning.,https://www.bbc.co.uk/news/science-environment-51681760,https://ichef.bbci.co.uk/news/1024/branded_news/16C95/production/_104933339_volcano_reu_23dec18.jpg,2020-02-28T23:25:06Z,"Image copyrightReutersImage caption
 A phreatomagmatic eruption occurs when water comes into direct contact with magma
The 2018 eruption of Anak Krakatau in Indonesia was remarkable in many ways.
It will be remembered, obviously, for the sudden flank colla… [+3533 chars]"
37,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Trump urges Afghans to seize opportunity for peace,A deal will be signed with the Taliban on Saturday as the US prepares to exit Afghanistan.,https://www.bbc.co.uk/news/world-asia-51684190,https://ichef.bbci.co.uk/news/1024/branded_news/108E/production/_111083240_gettyimages-1203862769.jpg,2020-02-28T23:15:46Z,"Image copyrightAFPImage caption
 Residents in the eastern city of Jalalabad celebrated the reduction in violence on Friday
President Donald Trump has called on Afghans to embrace prospects for peace, as the US prepares to sign an agreement with the Taliban … [+4136 chars]"
38,"{'id': 'bbc-news', 'name': 'BBC News'}",,2020/02/28 23:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172wy0v6f9ng9k,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2020-02-28T23:06:00Z,The latest five minute news bulletin from BBC World Service.
39,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,The Papers: 'War on virus' with emergency laws,The front pages continue to be dominated by the impact of the coronavirus on the UK.,https://www.bbc.co.uk/news/blogs-the-papers-51684050,https://ichef.bbci.co.uk/news/1024/branded_news/0EF4/production/_111082830_page1.jpg,2020-02-28T23:01:41Z,
40,"{'id': 'bbc-news', 'name': 'BBC News'}",,"Celtic v St Johnstone: Visitors must 'play angry', says Neil Lennon","Manager Neil Lennon is urging Celtic to ""play angry"" in Sunday's Scottish Cup tie against St Johnstone after their ""inexcusable"" Europa League exit.",https://www.bbc.co.uk/sport/football/51673928,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/1245/production/_111077640_19873682.jpg,2020-02-28T22:58:45Z,"Odsonne Edouard's penalty levelled the tie before Celtic's late collapse
Manager Neil Lennon is urging Celtic to ""play angry"" in Sunday's Scottish Cup tie against St Johnstone after their ""inexcusable"" Europa League exit.
The Premiership champions bowed out… [+1150 chars]"
41,"{'id': 'bbc-news', 'name': 'BBC News'}",,Norwich 1-0 Leicester - Brendan Rodgers says VAR decision on Kelechi Iheanacho goal harsh,Leicester boss Brendan Rodgers says the VAR decision to disallow a Kelechi Iheanacho goal was harsh on his side as they slipped to defeat at Carrow Road.,https://www.bbc.co.uk/sport/av/football/51684354,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/3802/production/_111083341_p0855722.jpg,2020-02-28T22:57:38Z,"Leicester boss Brendan Rodgers says the VAR decision to disallow a Kelechi Iheanacho goal was harsh on his side as they slipped to defeat at Carrow Road.
MATCH REPORT: Norwich 1-0 Leicester
Watch highlights on Match of the Day on Saturday 29 February from 2… [+27 chars]"
42,"{'id': 'bbc-news', 'name': 'BBC News'}",,"Transfer rumours: Arrizabalaga, Chiesa, Ozil, Grealish, Lusamba, Werner","Arrizabalaga ready to quit Chelsea, Man Utd send scout to watch Fiorentina's Chiesa, Ozil's agent confirms he will stay at Arsenal, plus more.",https://www.bbc.co.uk/sport/football/51681861,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/2B82/production/_111083111_gettyimages-1196971601.jpg,2020-02-28T22:54:53Z,"Spain goalkeeper Kepa Arrizabalaga, 25, is prepared to quit Chelsea this summer after losing his place in the team. (Sun)
Arrizabalaga is ready to leave Stamford Bridge because manager Frank Lampard failed to honour a verbal agreement to keep him as Chelsea'… [+2355 chars]"
